City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
348,tupiza,-21.45,-65.7167,14.64,73,100,3.46,BO,1732995405
349,playa del ingles,27.7567,-15.5787,24.66,40,88,0.88,ES,1732995406
350,timimoun,29.2639,0.231,18.78,31,0,3.36,DZ,1732995407
351,zaio,34.9428,-2.7329,14.9,48,37,0.9,MA,1732995408
352,yantarnyy,54.8717,19.9381,5.4,76,67,9.24,RU,1732995409
353,esmeraldas,-19.7625,-44.3139,25.49,77,98,1.09,BR,1732995410
354,haparanda,65.8355,24.1368,-3.97,97,100,2.7,SE,1732995411
355,billings,45.7833,-108.5007,3.92,56,100,6.17,US,1732995413
356,mandaguacu,-23.3472,-52.0953,26.78,83,75,3.6,BR,1732995414
357,ceeldheer,3.8488,47.1806,26.14,74,55,8.32,SO,1732995415
358,gadzhiyevo,69.2551,33.3362,-7.13,82,81,9.87,RU,1732995416
359,alofi,-19.0595,-169.9187,25.94,83,75,5.66,NU,1732995214
360,saint-pierre,-21.3393,55.4781,23.82,73,40,0.0,RE,1732995418
